Country,Region,GDP,Family,Health,Freedom,Trust,Generosity,Dystopia,Year,Score,Rank
Denmark,Western Europe,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,2016,7.525600000000001,1
Switzerland,Western Europe,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,2016,7.508659999999999,2
Iceland,Western Europe,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,2016,7.501389999999999,3
Norway,Western Europe,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,2016,7.49758,4
Finland,Western Europe,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,2016,7.4134899999999995,5
Canada,North America,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485,2016,7.4040300000000006,6
Netherlands,Western Europe,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,2016,7.33914,7
New Zealand,Australia and New Zealand,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,2016,7.33445,8
Australia,Australia and New Zealand,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,2016,7.31264,9
Sweden,Western Europe,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,2016,7.29139,10
Israel,Middle East and Northern Africa,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,2016,7.266970000000001,11
Austria,Western Europe,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,2016,7.118969999999999,12
United States,North America,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2.72782,2016,7.103680000000001,13
Costa Rica,Latin America and Caribbean,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,3.3516800000000004,2016,7.0867,14
Puerto Rico,Latin America and Caribbean,1.35943,1.08113,0.77758,0.46823000000000004,0.12275,0.22202,3.0076,2016,7.03874,15
Germany,Western Europe,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2.5093099999999997,2016,6.994479999999999,16
Brazil,Latin America and Caribbean,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,3.5073300000000005,2016,6.952070000000001,17
Belgium,Western Europe,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355,2016,6.92944,18
Ireland,Western Europe,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,2.15988,2016,6.9066600000000005,19
Luxembourg,Western Europe,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,2016,6.871180000000001,20
Mexico,Latin America and Caribbean,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,3.5590599999999997,2016,6.77816,21
Singapore,Southeastern Asia,1.64555,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706,1.99375,2016,6.7387,22
United Kingdom,Western Europe,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,2.1499900000000003,2016,6.725360000000002,23
Chile,Latin America and Caribbean,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595,2.95505,2016,6.7048000000000005,24
Panama,Latin America and Caribbean,1.18306,0.9891200000000001,0.70835,0.48927,0.08423,0.2418,3.00559,2016,6.701420000000001,25
Argentina,Latin America and Caribbean,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000002,3.12985,2016,6.65014,26
Czech Republic,Central and Eastern Europe,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,2016,6.59628,27
United Arab Emirates,Middle East and Northern Africa,1.57352,0.8711399999999999,0.72993,0.56215,0.35561,0.26591,2.21507,2016,6.5733299999999995,28
Uruguay,Latin America and Caribbean,1.18157,1.0314299999999998,0.72183,0.54388,0.21394000000000002,0.18056,2.67139,2016,6.5446,29
Malta,Western Europe,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,2016,6.48793,30
Colombia,Latin America and Caribbean,1.0303200000000001,1.02169,0.59659,0.44735,0.053989999999999996,0.15625999999999998,3.1747099999999997,2016,6.48091,31
France,Western Europe,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,2016,6.47761,32
Thailand,Southeastern Asia,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,2016,6.47364,33
Saudi Arabia,Middle East and Northern Africa,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,2016,6.379,34
Taiwan,Eastern Asia,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,2016,6.37943,35
Qatar,Middle East and Northern Africa,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.5822399999999999,2016,6.37454,36
Spain,Western Europe,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665,2.39663,2016,6.361040000000001,37
Algeria,Middle East and Northern Africa,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044,3.40904,2016,6.354899999999999,38
Guatemala,Latin America and Caribbean,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808,3.19863,2016,6.32363,39
Suriname,Latin America and Caribbean,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.12692,0.16665,3.06852,2016,6.26928,40
Kuwait,Middle East and Northern Africa,1.61714,0.8775799999999999,0.63569,0.43166000000000004,0.23669,0.15965,2.28085,2016,6.23926,41
Bahrain,Middle East and Northern Africa,1.44024,0.9439700000000001,0.65696,0.47375,0.25772,0.17147,2.27405,2016,6.21816,42
Trinidad and Tobago,Latin America and Caribbean,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.5139400000000003,2016,6.16772,43
Venezuela,Latin America and Caribbean,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,2.9746799999999998,2016,6.08442,44
Slovakia,Central and Eastern Europe,1.27973,1.0826799999999999,0.70367,0.23390999999999998,0.02947,0.13837,2.61065,2016,6.078479999999999,45
El Salvador,Latin America and Caribbean,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,2016,6.068379999999999,46
Malaysia,Southeastern Asia,1.25142,0.88025,0.62366,0.39031,0.09081,0.41473999999999994,2.35384,2016,6.00503,47
Nicaragua,Latin America and Caribbean,0.69384,0.8952100000000001,0.65213,0.46581999999999996,0.16292,0.29773,2.82428,2016,5.99193,48
Uzbekistan,Central and Eastern Europe,0.7359100000000001,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,2016,5.98709,49
Italy,Western Europe,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2.34918,2016,5.977490000000001,50
Ecuador,Latin America and Caribbean,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,2016,5.9764,51
Belize,Latin America and Caribbean,0.87616,0.68655,0.45569,0.51231,0.10770999999999999,0.23684000000000002,3.08039,2016,5.95565,52
Japan,Eastern Asia,1.3800700000000001,1.06054,0.91491,0.46761,0.18985,0.10224,1.8058400000000001,2016,5.921060000000001,53
Kazakhstan,Central and Eastern Europe,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,2016,5.91861,54
Moldova,Central and Eastern Europe,0.69177,0.8313200000000001,0.5230899999999999,0.25201999999999997,0.019030000000000002,0.19997,3.38007,2016,5.89727,55
Russia,Central and Eastern Europe,1.2322799999999998,1.05261,0.58991,0.32682,0.03586,0.027360000000000002,2.59115,2016,5.85599,56
Poland,Central and Eastern Europe,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,2016,5.83496,57
South Korea,Eastern Asia,1.35948,0.7219399999999999,0.88645,0.25168,0.07716,0.18824000000000002,2.35015,2016,5.835100000000001,58
Bolivia,Latin America and Caribbean,0.79422,0.8377899999999999,0.4697,0.50961,0.07746,0.21698,2.91635,2016,5.8221099999999995,59
Lithuania,Central and Eastern Europe,1.2692,1.0641100000000001,0.64674,0.18929,0.0182,0.02025,2.60525,2016,5.81304,60
Belarus,Central and Eastern Europe,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,0.13942000000000002,2.3858200000000003,2016,5.80231,61
North Cyprus,Western Europe,1.31141,0.81826,0.8414200000000001,0.43596,0.16577999999999998,0.26322,1.9344700000000001,2016,5.77052,62
Slovenia,Central and Eastern Europe,1.2994700000000001,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,2016,5.7677,63
Peru,Latin America and Caribbean,0.9960200000000001,0.81255,0.6299399999999999,0.37501999999999996,0.05292,0.14527,2.73117,2016,5.74289,64
Turkmenistan,Central and Eastern Europe,1.08017,1.03817,0.44006000000000006,0.37408,0.28467,0.22566999999999998,2.21489,2016,5.65771,65
Mauritius,Sub-Saharan Africa,1.14372,0.75695,0.66189,0.46145,0.05202999999999999,0.36951,2.20223,2016,5.64778,66
Libya,Middle East and Northern Africa,1.0668799999999998,0.95076,0.52304,0.40671999999999997,0.10339000000000001,0.17087,2.39374,2016,5.6154,67
Latvia,Central and Eastern Europe,1.2178799999999999,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,2016,5.55955,68
Cyprus,Western Europe,1.31857,0.70697,0.8488,0.29507,0.05227999999999999,0.27906,2.04497,2016,5.54572,69
Paraguay,Latin America and Caribbean,0.8937299999999999,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,2016,5.53797,70
Romania,Central and Eastern Europe,1.1697,0.7280300000000001,0.67602,0.36712,0.006790000000000001,0.12889,2.4518400000000002,2016,5.52839,71
Estonia,Central and Eastern Europe,1.2796399999999999,1.0516299999999998,0.68098,0.41511000000000003,0.18519000000000002,0.08423,1.81985,2016,5.516629999999999,72
Jamaica,Latin America and Caribbean,0.89333,0.96372,0.5946899999999999,0.43596999999999997,0.04294,0.22245,2.35682,2016,5.50992,73
Croatia,Central and Eastern Europe,1.18649,0.6080899999999999,0.70524,0.23906999999999998,0.04002,0.18434,2.52462,2016,5.48787,74
Hong Kong,Eastern Asia,1.5107,0.87021,0.9527700000000001,0.48078999999999994,0.31647,0.40097,0.92614,2016,5.45805,75
Somalia,Sub-Saharan Africa,0.0,0.33613000000000004,0.11465999999999998,0.5677800000000001,0.3118,0.27225,3.8377199999999996,2016,5.440339999999999,76
Kosovo,Central and Eastern Europe,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,2.80998,2016,5.4014,77
Turkey,Middle East and Northern Africa,1.1649200000000002,0.8771700000000001,0.64718,0.23889000000000002,0.12347999999999999,0.04707,2.29074,2016,5.38945,78
Indonesia,Southeastern Asia,0.95104,0.87625,0.49373999999999996,0.39237,0.00322,0.56521,2.03171,2016,5.31354,79
Jordan,Middle East and Northern Africa,0.9967299999999999,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,2016,5.30325,80
Azerbaijan,Central and Eastern Europe,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564,2.2735,2016,5.2915,81
Philippines,Southeastern Asia,0.81217,0.87877,0.47036000000000006,0.5485399999999999,0.11757000000000001,0.21674000000000002,2.23484,2016,5.27899,82
China,Eastern Asia,1.0278,0.79381,0.73561,0.44011999999999996,0.02745,0.049589999999999995,2.17087,2016,5.2452499999999995,83
Bhutan,Southern Asia,0.8527,0.9083600000000001,0.49759,0.46074,0.1616,0.48546000000000006,1.82916,2016,5.19561,84
Kyrgyzstan,Central and Eastern Europe,0.5604399999999999,0.95434,0.5544899999999999,0.40212,0.047619999999999996,0.38432,2.28136,2016,5.18469,85
Serbia,Central and Eastern Europe,1.03437,0.81329,0.6458,0.15718,0.04339,0.20736999999999997,2.2753900000000002,2016,5.1767900000000004,86
Bosnia and Herzegovina,Central and Eastern Europe,0.9338299999999999,0.64367,0.7076600000000001,0.09511,0.0,0.29889,2.48406,2016,5.16322,87
Montenegro,Central and Eastern Europe,1.07838,0.74173,0.6353300000000001,0.15111,0.12721,0.17190999999999998,2.2553099999999997,2016,5.1609799999999995,88
Dominican Republic,Latin America and Caribbean,1.02787,0.9949600000000001,0.5766899999999999,0.52259,0.12372000000000001,0.21286,1.6962599999999999,2016,5.15495,89
Morocco,Middle East and Northern Africa,0.8405799999999999,0.38595,0.5947100000000001,0.25645999999999997,0.08404,0.040530000000000004,2.9489099999999997,2016,5.15118,90
Hungary,Central and Eastern Europe,1.24142,0.9316399999999999,0.67608,0.1977,0.044719999999999996,0.099,1.9547299999999999,2016,5.14529,91
Pakistan,Southern Asia,0.68816,0.26135,0.40306,0.14622000000000002,0.1388,0.31185,3.18286,2016,5.1323,92
Lebanon,Middle East and Northern Africa,1.12268,0.64184,0.76171,0.26228,0.030610000000000002,0.23693000000000003,2.0733900000000003,2016,5.129440000000001,93
Portugal,Western Europe,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,1.53015,2016,5.12291,94
Macedonia,Central and Eastern Europe,1.0193,0.78236,0.6473800000000001,0.27668000000000004,0.07047,0.23506999999999997,2.08947,2016,5.12073,95
Vietnam,Southeastern Asia,0.74037,0.7911699999999999,0.66157,0.5595399999999999,0.11556,0.25075,1.9418,2016,5.06076,96
Somaliland Region,Sub-Saharan Africa,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.36794,0.51479,2.43801,2016,5.05732,97
Tunisia,Middle East and Northern Africa,0.97724,0.43165,0.59577,0.23553000000000002,0.0817,0.03936,2.68413,2016,5.04538,98
Greece,Western Europe,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0,2.12944,2016,5.03281,99
Tajikistan,Central and Eastern Europe,0.48835,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004,2.39106,2016,4.99577,100
Mongolia,Eastern Asia,0.9885299999999999,1.0898299999999999,0.55469,0.35972,0.03285,0.34539000000000003,1.53586,2016,4.90687,101
Laos,Southeastern Asia,0.68042,0.5497,0.38291,0.52168,0.22423,0.43078999999999995,2.08637,2016,4.876099999999999,102
Nigeria,Sub-Saharan Africa,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.8858599999999996,2016,4.87531,103
Honduras,Latin America and Caribbean,0.69429,0.7559600000000001,0.5838300000000001,0.26755,0.06906,0.2044,2.2955099999999997,2016,4.8706,104
Iran,Middle East and Northern Africa,1.11758,0.38856999999999997,0.64232,0.22544,0.0557,0.38538,1.99817,2016,4.81316,105
Zambia,Sub-Saharan Africa,0.61202,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999,2.5899099999999997,2016,4.79533,106
Nepal,Southern Asia,0.44626000000000005,0.69699,0.50073,0.37012,0.07007999999999999,0.3816,2.32694,2016,4.79272,107
Palestinian Territories,Middle East and Northern Africa,0.67024,0.71629,0.56844,0.17744000000000001,0.10613,0.11154000000000001,2.40364,2016,4.7537199999999995,108
Albania,Central and Eastern Europe,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.9281599999999999,2016,4.65523,109
Bangladesh,Southern Asia,0.54177,0.24749000000000002,0.52989,0.39778,0.12583,0.19132000000000002,2.6090400000000002,2016,4.643120000000001,110
Sierra Leone,Sub-Saharan Africa,0.36485,0.628,0.0,0.30685,0.08196,0.23897,3.01402,2016,4.63465,111
Iraq,Middle East and Northern Africa,1.07474,0.59205,0.51076,0.24856,0.13635999999999998,0.19589,1.81657,2016,4.57493,112
Namibia,Sub-Saharan Africa,0.9328700000000001,0.70362,0.34745,0.48613999999999996,0.10397999999999999,0.07795,1.92198,2016,4.57399,113
Cameroon,Sub-Saharan Africa,0.5249699999999999,0.62542,0.12697999999999998,0.42736,0.06126,0.2268,2.5198,2016,4.512589999999999,114
Ethiopia,Sub-Saharan Africa,0.29283000000000003,0.37932,0.34578000000000003,0.36703,0.1717,0.29522,2.65614,2016,4.50802,115
South Africa,Sub-Saharan Africa,1.02416,0.9605299999999999,0.18611,0.42483000000000004,0.08415,0.13656,1.6422700000000001,2016,4.45861,116
Sri Lanka,Southern Asia,0.9731799999999999,0.84783,0.62007,0.50817,0.07964,0.46978000000000003,0.91681,2016,4.4154800000000005,117
India,Southern Asia,0.74036,0.29247,0.45091000000000003,0.40285,0.08722,0.25028,2.18032,2016,4.40441,118
Myanmar,Southeastern Asia,0.34112,0.69981,0.3988,0.42691999999999997,0.20243,0.81971,1.50655,2016,4.39534,119
Egypt,Middle East and Northern Africa,0.95395,0.49813,0.5211600000000001,0.18847,0.10393,0.12705999999999998,1.96895,2016,4.361650000000001,120
Armenia,Central and Eastern Europe,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.036160000000000005,0.07793,1.9786400000000002,2016,4.35956,121
Kenya,Sub-Saharan Africa,0.52267,0.7624,0.30146999999999996,0.40576,0.06686,0.41328000000000004,1.88326,2016,4.3557,122
Ukraine,Central and Eastern Europe,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363,1.50066,2016,4.32445,123
Ghana,Sub-Saharan Africa,0.63107,0.49353,0.29681,0.40973000000000004,0.0326,0.21203000000000002,2.2002,2016,4.27597,124
Congo (Kinshasa),Sub-Saharan Africa,0.05661,0.80676,0.188,0.15602,0.06075,0.25458000000000003,2.7492400000000004,2016,4.271960000000001,125
Georgia,Central and Eastern Europe,0.8379200000000001,0.19249000000000002,0.64035,0.32461,0.3188,0.06786,1.87031,2016,4.25234,126
Congo (Brazzaville),Sub-Saharan Africa,0.7710899999999999,0.47798999999999997,0.28212,0.37938,0.09752999999999999,0.12077,2.10681,2016,4.23569,127
Senegal,Sub-Saharan Africa,0.44314,0.7741600000000001,0.40457,0.31056,0.11681,0.19103,1.9786099999999998,2016,4.2188799999999995,128
Bulgaria,Central and Eastern Europe,1.11306,0.92542,0.67806,0.21219000000000002,0.00615,0.12793,1.15377,2016,4.2165799999999996,129
Mauritania,Sub-Saharan Africa,0.6139100000000001,0.8414200000000001,0.28639000000000003,0.1268,0.17955,0.22685999999999998,1.9263,2016,4.20123,130
Zimbabwe,Sub-Saharan Africa,0.35041,0.71478,0.1595,0.25429,0.08582000000000001,0.18503,2.4427,2016,4.19253,131
Malawi,Sub-Saharan Africa,0.08709,0.147,0.29364,0.4143,0.07564,0.30968,2.82859,2016,4.15594,132
Sudan,Sub-Saharan Africa,0.63069,0.8192799999999999,0.29759,0.0,0.10039,0.18077000000000001,2.10995,2016,4.138669999999999,133
Gabon,Sub-Saharan Africa,1.15851,0.72368,0.3494,0.28098,0.09314,0.062439999999999996,1.4533200000000002,2016,4.12147,134
Mali,Sub-Saharan Africa,0.31292,0.8633299999999999,0.16347,0.27544,0.13647,0.21064000000000002,2.1108700000000002,2016,4.07314,135
Haiti,Latin America and Caribbean,0.34097,0.29561,0.27494,0.12072000000000001,0.14476,0.47958,2.3711599999999997,2016,4.02774,136
Botswana,Sub-Saharan Africa,1.09426,0.89186,0.34752,0.44088999999999995,0.10769000000000001,0.12425,0.96741,2016,3.97388,137
Comoros,Sub-Saharan Africa,0.27509,0.60323,0.29980999999999997,0.15412,0.18437,0.1827,2.25632,2016,3.95564,138
Ivory Coast,Sub-Saharan Africa,0.55507,0.57576,0.04476,0.40663,0.1553,0.20338,1.97478,2016,3.91568,139
Cambodia,Southeastern Asia,0.55604,0.5375,0.42494,0.5885199999999999,0.08092,0.40339,1.3157299999999998,2016,3.9070399999999994,140
Angola,Sub-Saharan Africa,0.84731,0.66366,0.04991,0.00589,0.08434,0.12070999999999998,2.09459,2016,3.86641,141
Niger,Sub-Saharan Africa,0.1327,0.6053,0.26161999999999996,0.38040999999999997,0.17176,0.2097,2.09469,2016,3.8561799999999997,142
South Sudan,Sub-Saharan Africa,0.39394,0.18519000000000002,0.15780999999999998,0.19662000000000002,0.13015,0.25899,2.50929,2016,3.8319900000000002,143
Chad,Sub-Saharan Africa,0.42213999999999996,0.63178,0.038239999999999996,0.12807000000000002,0.04952,0.18667,2.3063700000000003,2016,3.7627900000000003,144
Burkina Faso,Sub-Saharan Africa,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353000000000002,1.8731900000000001,2016,3.73921,145
Uganda,Sub-Saharan Africa,0.34719,0.90981,0.19625,0.43653000000000003,0.06442,0.27102,1.51416,2016,3.73938,146
Yemen,Middle East and Northern Africa,0.57939,0.47493,0.31048000000000003,0.2287,0.05892000000000001,0.09821,1.97295,2016,3.72358,147
Madagascar,Sub-Saharan Africa,0.27954,0.46115,0.37109000000000003,0.13684000000000002,0.07506,0.2204,2.15075,2016,3.6948299999999996,148
Tanzania,Sub-Saharan Africa,0.47155,0.77623,0.35700000000000004,0.3176,0.05099,0.31472,1.3776899999999999,2016,3.66578,149
Liberia,Sub-Saharan Africa,0.10705999999999999,0.50353,0.23165,0.25748000000000004,0.04852,0.24063,2.23284,2016,3.6217099999999998,150
Guinea,Sub-Saharan Africa,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,2016,3.60725,151
Rwanda,Sub-Saharan Africa,0.32846,0.6158600000000001,0.31865,0.5432,0.50521,0.23551999999999998,0.96819,2016,3.5150900000000003,152
Benin,Sub-Saharan Africa,0.39499,0.10419,0.21028000000000002,0.39747,0.06681000000000001,0.2018,2.10812,2016,3.48366,153
Afghanistan,Southern Asia,0.38227,0.11037000000000001,0.17344,0.1643,0.07112,0.31268,2.14558,2016,3.3597599999999996,154
Togo,Sub-Saharan Africa,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,0.17517,2.1354,2016,3.30256,155
Syria,Middle East and Northern Africa,0.7471899999999999,0.14866,0.6299399999999999,0.06912,0.17232999999999998,0.48396999999999996,0.81789,2016,3.0690999999999997,156
Burundi,Sub-Saharan Africa,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.1040400000000004,2016,2.9045300000000003,157
